"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8236083984375","94.2029037475586","77.4683532714844","99.5355987548828","107.898887634277","96.5986404418945","95.5617218017578","97.5098266601562","89.5833282470703","99.1701202392578","97.1649475097656","98.2978668212891","","","89.8550720214844","93.4260406494141","","","","87.1630325317383","98.3827514648438","104.499267578125","87.7980422973633","93.2411727905273","","","",
"Africa Eastern and Southern","AFE","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","51.3597717285156","52.3008995056152","53.1329002380371","54.4283294677734","55.6816787719727","57.9051399230957","58.282169342041","59.4823112487793","60.6653099060059","60.7734718322754","63.5838584899902","59.5054817199707","58.8105087280273","57.5146713256836","55.9375801086426","54.344841003418","54.7660903930664","54.8858795166016","53.5176582336426","54.4556007385254","53.0910606384277","53.4019203186035","53.5984916687012","53.0482597351074","51.7477798461914","51.5973510742188","52.2098693847656","54.7302703857422","56.6530494689941","58.3662490844727","59.6503982543945","61.9681816101074","63.5182914733887","65.1702423095703","67.8628387451172","70.73095703125","69.9208602905273","69.2558288574219","68.2277297973633","67.2509231567383","67.2980117797852","66.8280029296875","66.6456298828125","67.6444778442383","69.2789611816406","70.1020736694336","71.4072418212891","72.0860137939453","71.2487716674805","70.3487777709961","70.4169921875","",
"Afghanistan","AFG","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","29.3080501556396","","","30.1365394592285","32.5482482910156","","43.1178588867188","53.909839630127","","","27.5794296264648","27.1739006042481","","","","","","","","46.8624687194824","","","","","","","","","","","","","","","","","","","","","","","99.9966506958008","105.736518859863","108.087852478027","107.201797485352","","","","103.277351379395","","",
"Africa Western and Central","AFW","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","58.9880790710449","58.8778610229492","58.2502708435059","59.5564384460449","60.2061309814453","61.0297698974609","62.4757385253906","62.2690887451172","62.438289642334","63.066219329834","63.3187294006348","63.4668083190918","63.353328704834","63.0365295410156","63.5293388366699","63.7124481201172","63.8604507446289","63.4567985534668","63.9822883605957","64.3216018676758","64.5739669799805","64.6369094848633","64.479606628418","64.0137405395508","64.7016067504883","64.7871398925781","64.7885131835938","65.132926940918","65.8899536132812","66.6956634521484","66.7210922241211","66.3811264038086","67.4693069458008","69.0635986328125","73.5683135986328","69.747673034668","64.9832611083984","67.4192810058594","67.9967498779297","68.816032409668","68.5089263916016","69.2759170532227","69.622428894043","70.3559188842773","70.9132614135742","70.1294403076172","69.5722503662109","69.1919097900391","69.26171875","69.7928771972656","68.5592727661133","68.5993270874023","68.7974395751953","",
"Angola","AGO","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7210693359375","46.3387603759766","49.2090034905818","63.3907712785117","","","","","","","","","","60.6257653357645","","46.8975842066414","","",
"Albania","ALB","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4692764282227","","","","99.2087478637695","101.56844329834","","110.87922668457","105.99739074707","","","108.076301574707","109.633247375488","109.622703552246","102.623303541873","100.316312697695","115.545177277926","94.2569832402235","104.631709765308","99.371950335765","99.3520408163265","108.27810786106","103.697183098592","102.773207990599","101.396716491056","99.4588093806374","104.804727646454","98.5522620904836","107.437828063965","",
"Andorra","AND","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.523262023926","114.634147644043","95.4081573486328","","","","","","","","","","65.5256723716381","61.9537275064267","73.1645569620253","65.5963302752293","71.8377088305489","67.0822942643392","64.4444444444444","64.7783251231527","","70.7838479809976","69.4871794871795","",
"Arab World","ARB","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","69.1407318115234","68.459846496582","69.2026672363281","69.3517608642578","72.4756317138672","73.9561996459961","75.9156036376953","75.4732666015625","70.2434997558594","72.002067565918","74.879997253418","74.3757171630859","74.6656188964844","76.1851806640625","79.6599807739258","78.0183334350586","77.2444610595703","77.6344909667969","77.9117965698242","78.7956619262695","78.2480697631836","78.5852432250977","78.3629913330078","78.5858383178711","79.0247268676758","79.6306991577148","79.8552703857422","80.2649993896484","80.6091918945312","79.7444915771484","80.225959777832","80.164436340332","82.1830368041992","83.5661926269531","84.9805679321289","82.7600479125977","84.4327087402344","86.2181167602539","83.836669921875","84.4170532226562","84.2229232788086","85.0368728637695","80.3750381469727","80.4962768554688","79.7782516479492","79.2210388183594","79.0627975463867","80.0049362182617","80.1406631469727","81.3291015625","81.5644073486328","82.4753189086914","83.1775588989258","84.6300582885742","",
"United Arab Emirates","ARE","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","39.7714614868164","39.6052284240723","52.0055618286133","57.8068885803223","61.1724395751953","63.3435592651367","62.3100318908691","64.4922714233398","77.6701431274414","78.5631713867188","75.9318771362305","74.3539505004883","72.7814331054688","67.4513778686523","64.6076202392578","71.2541580200195","79.7655181884766","86.7751388549805","87.0791473388672","85.2722015380859","85.8816070556641","86.596321105957","82.5712280273438","75.047737121582","70.6973037719727","74.0354232788086","110.955192565918","113.218948364258","108.948921203613","107.878616333008","104.323501586914","102.171241760254","95.8169403076172","","","","","","","","","","","","105.177812201312","99.8201938637069","97.8258083122376","95.9269091086755","106.280390820268","97.4186390532544","","",
"Argentina","ARG","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","67.6584396362305","69.4541397094727","","","","75.3107604980469","75.1209106445312","","","","","","","","","","","","","","","","","","","","90.2013626098633","89.1708221435547","98.4460906982422","97.8752670288086","97.5186996459961","97.0879898071289","99.7899703979492","97.8274993896484","96.3771514892578","93.6234283447266","94.890007019043","97.7480392456055","101.681922912598","102.486610412598","103.019830309479","102.831045597942","103.338889946006","103.096425135666","105.178570925373","105.736216015524","105.326155244202","100.911945856337","99.3931908153891","99.5688523594961","98.6217246737269","102.033124049471","99.7088923341818","98.0214785783287","","",
"Armenia","ARM","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5982131958008","97.6768188476562","114.737533569336","102.479721069336","99.068733215332","106.751708984375","111.456199645996","","96.829954954955","97.1586065806672","95.0520541811262","","95.9626838138407","93.2932778719252","90.4845417647943","92.178607908945","90.8614585791834","95.3274087932647","94.9103876256194","94.705174488568","95.4125428021952","95.1814032280834","99.7062446697622","",
"American Samoa","ASM","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
