"Tabela 3540 - Pessoas de 10 anos ou mais de idade, por nível de instrução, segundo a situação do domicílio, o sexo, a cor ou raça e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Ano x Nível de instrução x Situação do domicílio x Sexo"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"2010"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";;;"Sem instrução e fundamental incompleto";;;"Fundamental completo e médio incompleto";;;"Médio completo e superior incompleto"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";;;"Total";;;"Total";;;"Total"
"Brasil e Grande Região";"Cor ou raça";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Norte";"Parda";"20 a 24 anos";"1053188";"529901";"523287";"380967";"211510";"169457";"258548";"133003";"125544";"379804";"171889";"207915"
"Nordeste";"Total";"Total";"44217039";"21396504";"22820535";"26114886";"13473224";"12641663";"6764709";"3140353";"3624356";"8933710";"3862101";"5071609"
"Nordeste";"Total";"10 a 14 anos";"5245176";"2665839";"2579337";"5042186";"2583546";"2458640";"171854";"67970";"103884";"4172";"2072";"2099"
"Nordeste";"Total";"14 anos";"1079516";"544434";"535082";"927466";"485958";"441507";"134182";"50379";"83803";"2355";"1129";"1227"
"Nordeste";"Total";"15 a 19 anos";"5135868";"2580749";"2555119";"2376465";"1386706";"989759";"1986303";"881071";"1105233";"667349";"265979";"401370"
"Nordeste";"Total";"20 a 24 anos";"5048125";"2497122";"2551003";"1715986";"993503";"722482";"1149001";"573453";"575548";"2010177";"863068";"1147109"
"Nordeste";"Branca";"Total";"12731514";"5962793";"6768722";"6595703";"3309944";"3285759";"1943322";"888937";"1054385";"3019879";"1301617";"1718261"
"Nordeste";"Branca";"10 a 14 anos";"1397765";"694783";"702982";"1333411";"668480";"664931";"56125";"22415";"33710";"1297";"659";"637"
"Nordeste";"Branca";"14 anos";"284970";"140084";"144885";"235562";"120544";"115018";"44672";"17254";"27417";"733";"345";"388"
"Nordeste";"Branca";"15 a 19 anos";"1389037";"677102";"711934";"540189";"310002";"230187";"582283";"258509";"323774";"235265";"95283";"139981"
"Nordeste";"Branca";"20 a 24 anos";"1410260";"681409";"728850";"385795";"221533";"164263";"288181";"142761";"145420";"660573";"287599";"372974"
"Nordeste";"Preta";"Total";"4439264";"2287423";"2151841";"2746921";"1489823";"1257098";"653995";"327947";"326048";"879379";"405478";"473901"
