T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
76,Brazil,2021,Percentage of individuals using the internet,80.7,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
76,Brazil,2022,Percentage of individuals using the internet,80.5,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
76,Brazil,2023,Percentage of individuals using the internet,84.2,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
92,British Virgin Islands,2010,Percentage of individuals using the internet,37.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2005,Percentage of individuals using the internet,36.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2010,Percentage of individuals using the internet,53.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2015,Percentage of individuals using the internet,71.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2020,Percentage of individuals using the internet,96.3,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2021,Percentage of individuals using the internet,97.6,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2022,Percentage of individuals using the internet,99.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
96,Brunei Darussalam,2023,Percentage of individuals using the internet,99.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2005,Percentage of individuals using the internet,20.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2010,Percentage of individuals using the internet,46.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2015,Percentage of individuals using the internet,56.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2020,Percentage of individuals using the internet,70.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2021,Percentage of individuals using the internet,75.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2022,Percentage of individuals using the internet,79.1,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
100,Bulgaria,2023,Percentage of individuals using the internet,80.4,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2005,Percentage of individuals using the internet,0.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2010,Percentage of individuals using the internet,2.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2015,Percentage of individuals using the internet,6.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2020,Percentage of individuals using the internet,10.8,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2021,Percentage of individuals using the internet,12.6,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2022,Percentage of individuals using the internet,14.6,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
854,Burkina Faso,2023,Percentage of individuals using the internet,17.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2005,Percentage of individuals using the internet,0.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2010,Percentage of individuals using the internet,1.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2015,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2020,Percentage of individuals using the internet,9.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2021,Percentage of individuals using the internet,11.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2022,Percentage of individuals using the internet,11.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
108,Burundi,2023,Percentage of individuals using the internet,11.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2005,Percentage of individuals using the internet,6.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2010,Percentage of individuals using the internet,30.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2015,Percentage of individuals using the internet,42.7,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2020,Percentage of individuals using the internet,69.4,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2021,Percentage of individuals using the internet,70.3,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2022,Percentage of individuals using the internet,72.8,Estimate.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
132,Cabo Verde,2023,Percentage of individuals using the internet,73.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2005,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2010,Percentage of individuals using the internet,1.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2015,Percentage of individuals using the internet,6.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2020,Percentage of individuals using the internet,53.7,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2021,Percentage of individuals using the internet,58.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2022,Percentage of individuals using the internet,59.7,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
116,Cambodia,2023,Percentage of individuals using the internet,60.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2005,Percentage of individuals using the internet,1.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2010,Percentage of individuals using the internet,4.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2015,Percentage of individuals using the internet,18.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2020,Percentage of individuals using the internet,41.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2021,Percentage of individuals using the internet,42.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2022,Percentage of individuals using the internet,41.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
120,Cameroon,2023,Percentage of individuals using the internet,41.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2005,Percentage of individuals using the internet,71.7,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2010,Percentage of individuals using the internet,80.3,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2015,Percentage of individuals using the internet,90.0,Estimate.;Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2020,Percentage of individuals using the internet,92.3,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2021,Percentage of individuals using the internet,93.9,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2022,Percentage of individuals using the internet,94.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
124,Canada,2023,Percentage of individuals using the internet,94.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
136,Cayman Islands,2005,Percentage of individuals using the internet,38.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
136,Cayman Islands,2010,Percentage of individuals using the internet,66.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
136,Cayman Islands,2015,Percentage of individuals using the internet,77.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
140,Central African Republic,2005,Percentage of individuals using the internet,0.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
140,Central African Republic,2010,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
140,Central African Republic,2015,Percentage of individuals using the internet,2.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2005,Percentage of individuals using the internet,0.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2010,Percentage of individuals using the internet,1.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2015,Percentage of individuals using the internet,3.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2020,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2021,Percentage of individuals using the internet,13.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2022,Percentage of individuals using the internet,12.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
148,Chad,2023,Percentage of individuals using the internet,13.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2005,Percentage of individuals using the internet,31.2,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2010,Percentage of individuals using the internet,45.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2015,Percentage of individuals using the internet,76.6,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2020,Percentage of individuals using the internet,87.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2021,Percentage of individuals using the internet,90.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2022,Percentage of individuals using the internet,93.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
152,Chile,2023,Percentage of individuals using the internet,94.5,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2005,Percentage of individuals using the internet,8.5,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2010,Percentage of individuals using the internet,34.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2015,Percentage of individuals using the internet,50.3,"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.;Estimate. Data refer to permanent residents. Users in the last six months.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2020,Percentage of individuals using the internet,70.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2021,Percentage of individuals using the internet,73.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2022,Percentage of individuals using the internet,75.6,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
156,China,2023,Percentage of individuals using the internet,77.5,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2005,Percentage of individuals using the internet,56.9,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2010,Percentage of individuals using the internet,72.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2015,Percentage of individuals using the internet,84.9,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2020,Percentage of individuals using the internet,92.4,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2021,Percentage of individuals using the internet,93.1,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2022,Percentage of individuals using the internet,95.6,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
344,"China, Hong Kong SAR",2023,Percentage of individuals using the internet,96.0,Population aged 10 years and over.;Users in the last 12 months.;Excludes foreign domestic helpers.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2005,Percentage of individuals using the internet,34.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2010,Percentage of individuals using the internet,55.2,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2015,Percentage of individuals using the internet,77.6,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2020,Percentage of individuals using the internet,87.5,Estimate.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2021,Percentage of individuals using the internet,88.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2022,Percentage of individuals using the internet,88.0,Estimate.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
446,"China, Macao SAR",2023,Percentage of individuals using the internet,89.2,Estimate.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2010,Percentage of individuals using the internet,36.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2015,Percentage of individuals using the internet,55.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2020,Percentage of individuals using the internet,69.8,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2021,Percentage of individuals using the internet,73.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2022,Percentage of individuals using the internet,72.8,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
170,Colombia,2023,Percentage of individuals using the internet,77.3,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2005,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2010,Percentage of individuals using the internet,5.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2015,Percentage of individuals using the internet,7.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2020,Percentage of individuals using the internet,22.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2021,Percentage of individuals using the internet,30.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2022,Percentage of individuals using the internet,32.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
174,Comoros,2023,Percentage of individuals using the internet,35.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2005,Percentage of individuals using the internet,1.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2010,Percentage of individuals using the internet,5.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2015,Percentage of individuals using the internet,7.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2020,Percentage of individuals using the internet,24.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2021,Percentage of individuals using the internet,33.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2022,Percentage of individuals using the internet,37.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
178,Congo,2023,Percentage of individuals using the internet,38.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
184,Cook Islands,2005,Percentage of individuals using the internet,26.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
184,Cook Islands,2010,Percentage of individuals using the internet,35.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
184,Cook Islands,2015,Percentage of individuals using the internet,51.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2005,Percentage of individuals using the internet,22.1,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2010,Percentage of individuals using the internet,36.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2015,Percentage of individuals using the internet,59.8,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2020,Percentage of individuals using the internet,80.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2021,Percentage of individuals using the internet,82.7,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2022,Percentage of individuals using the internet,82.6,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
188,Costa Rica,2023,Percentage of individuals using the internet,85.4,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2005,Percentage of individuals using the internet,1.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2010,Percentage of individuals using the internet,2.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2015,Percentage of individuals using the internet,38.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2020,Percentage of individuals using the internet,36.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2021,Percentage of individuals using the internet,36.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2022,Percentage of individuals using the internet,38.4,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
384,Côte d’Ivoire,2023,Percentage of individuals using the internet,40.7,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2005,Percentage of individuals using the internet,33.1,Estimate.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2010,Percentage of individuals using the internet,56.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2015,Percentage of individuals using the internet,69.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2020,Percentage of individuals using the internet,78.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2021,Percentage of individuals using the internet,81.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2022,Percentage of individuals using the internet,82.1,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
191,Croatia,2023,Percentage of individuals using the internet,83.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2005,Percentage of individuals using the internet,9.7,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2010,Percentage of individuals using the internet,15.9,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2015,Percentage of individuals using the internet,37.3,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2020,Percentage of individuals using the internet,71.1,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2021,Percentage of individuals using the internet,67.6,Population aged 6 years and over.;Surveys collecting the releavant information were not carried out in 2021.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2022,Percentage of individuals using the internet,68.2,Estimate.;Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
192,Cuba,2023,Percentage of individuals using the internet,71.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2005,Percentage of individuals using the internet,32.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2010,Percentage of individuals using the internet,53.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2015,Percentage of individuals using the internet,71.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2020,Percentage of individuals using the internet,90.8,Population aged 16 to 74 years.;Use of the internet during the first quarter of the year.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2021,Percentage of individuals using the internet,90.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2022,Percentage of individuals using the internet,89.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
196,Cyprus,2023,Percentage of individuals using the internet,91.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2005,Percentage of individuals using the internet,35.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2010,Percentage of individuals using the internet,68.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2015,Percentage of individuals using the internet,75.7,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2020,Percentage of individuals using the internet,81.3,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2021,Percentage of individuals using the internet,82.7,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2022,Percentage of individuals using the internet,84.5,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
203,Czechia,2023,Percentage of individuals using the internet,86.0,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2010,Percentage of individuals using the internet,0.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2015,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2020,Percentage of individuals using the internet,21.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2021,Percentage of individuals using the internet,28.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2022,Percentage of individuals using the internet,29.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
180,Dem. Rep. of the Congo,2023,Percentage of individuals using the internet,30.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
208,Denmark,2005,Percentage of individuals using the internet,82.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
208,Denmark,2010,Percentage of individuals using the internet,88.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
208,Denmark,2015,Percentage of individuals using the internet,96.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
