T30,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
18,Southern Africa,2022,Percentage of individuals using the internet,73.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
18,Southern Africa,2023,Percentage of individuals using the internet,74.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2005,Percentage of individuals using the internet,2.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2010,Percentage of individuals using the internet,7.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2015,Percentage of individuals using the internet,17.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2020,Percentage of individuals using the internet,32.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2021,Percentage of individuals using the internet,35.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2022,Percentage of individuals using the internet,37.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
11,Western Africa,2023,Percentage of individuals using the internet,38.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2005,Percentage of individuals using the internet,68.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2010,Percentage of individuals using the internet,72.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2015,Percentage of individuals using the internet,76.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2020,Percentage of individuals using the internet,90.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2021,Percentage of individuals using the internet,91.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2022,Percentage of individuals using the internet,92.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
21,Northern America,2023,Percentage of individuals using the internet,93.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2020,Percentage of individuals using the internet,73.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2021,Percentage of individuals using the internet,76.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2022,Percentage of individuals using the internet,77.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
419,Latin America & the Caribbean,2023,Percentage of individuals using the internet,79.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2010,Percentage of individuals using the internet,21.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2015,Percentage of individuals using the internet,38.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2020,Percentage of individuals using the internet,68.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2021,Percentage of individuals using the internet,69.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2022,Percentage of individuals using the internet,69.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
29,Caribbean,2023,Percentage of individuals using the internet,70.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2005,Percentage of individuals using the internet,3.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2010,Percentage of individuals using the internet,18.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2015,Percentage of individuals using the internet,43.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2020,Percentage of individuals using the internet,67.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2021,Percentage of individuals using the internet,76.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2022,Percentage of individuals using the internet,80.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
143,Central Asia,2023,Percentage of individuals using the internet,84.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2005,Percentage of individuals using the internet,16.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2010,Percentage of individuals using the internet,39.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2015,Percentage of individuals using the internet,54.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2020,Percentage of individuals using the internet,71.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2021,Percentage of individuals using the internet,74.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2022,Percentage of individuals using the internet,76.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
30,Eastern Asia,2023,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2010,Percentage of individuals using the internet,7.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2015,Percentage of individuals using the internet,16.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2020,Percentage of individuals using the internet,41.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2021,Percentage of individuals using the internet,44.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2022,Percentage of individuals using the internet,46.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
62,South-central Asia,2023,Percentage of individuals using the internet,48.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2005,Percentage of individuals using the internet,8.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2020,Percentage of individuals using the internet,60.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2021,Percentage of individuals using the internet,68.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2022,Percentage of individuals using the internet,72.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
35,South-eastern Asia,2023,Percentage of individuals using the internet,75.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2010,Percentage of individuals using the internet,7.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2015,Percentage of individuals using the internet,15.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2020,Percentage of individuals using the internet,40.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2021,Percentage of individuals using the internet,43.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2022,Percentage of individuals using the internet,45.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
34,Southern Asia,2023,Percentage of individuals using the internet,47.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2010,Percentage of individuals using the internet,31.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2015,Percentage of individuals using the internet,49.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2020,Percentage of individuals using the internet,67.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2021,Percentage of individuals using the internet,71.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2022,Percentage of individuals using the internet,75.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
145,Western Asia,2023,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2005,Percentage of individuals using the internet,39.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2010,Percentage of individuals using the internet,62.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2015,Percentage of individuals using the internet,74.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2020,Percentage of individuals using the internet,85.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2021,Percentage of individuals using the internet,88.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2022,Percentage of individuals using the internet,89.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
150,Europe,2023,Percentage of individuals using the internet,90.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2005,Percentage of individuals using the internet,47.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2010,Percentage of individuals using the internet,56.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2015,Percentage of individuals using the internet,64.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2020,Percentage of individuals using the internet,76.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2021,Percentage of individuals using the internet,77.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2022,Percentage of individuals using the internet,77.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
9,Oceania,2023,Percentage of individuals using the internet,77.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2005,Percentage of individuals using the internet,63.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2015,Percentage of individuals using the internet,84.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2020,Percentage of individuals using the internet,94.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2021,Percentage of individuals using the internet,96.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2022,Percentage of individuals using the internet,96.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
53,Australia and New Zealand,2023,Percentage of individuals using the internet,96.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2005,Percentage of individuals using the internet,7.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2010,Percentage of individuals using the internet,12.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2015,Percentage of individuals using the internet,21.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2020,Percentage of individuals using the internet,47.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2021,Percentage of individuals using the internet,52.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2022,Percentage of individuals using the internet,52.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
57,Micronesia,2023,Percentage of individuals using the internet,52.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2010,Percentage of individuals using the internet,4.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2015,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2020,Percentage of individuals using the internet,17.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2021,Percentage of individuals using the internet,16.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2022,Percentage of individuals using the internet,17.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
4,Afghanistan,2023,Percentage of individuals using the internet,17.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
8,Albania,2005,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
8,Albania,2010,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
8,Albania,2015,Percentage of individuals using the internet,56.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2025."
