"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Cód.";"Município";"Ano x Tipo de rebanho"
"Cód.";"Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Cód.";"Município";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"1501808";"Breves (PA)";"225";"366";"443";"496";"510";"530";"214";"224";"226";"810";"842";"284";"311";"379";"816";"976";"1210";"1570";"1940";"2210";"2250";"2310";"2520";"2210";"2150";"2215";"2320";"2303";"2250";"2310";"2120";"2250";"2278";"2148";"2025";"2032";"2102";"2124";"2360";"2426";"2294";"2423";"2215";"2114";"2008";"1985";"1590";"1230";"1100";"920";"750"
"1501907";"Bujaru (PA)";"570";"643";"673";"680";"960";"1050";"1088";"3045";"4510";"6703";"7930";"8250";"8660";"9145";"9420";"3956";"3996";"3985";"4065";"4146";"4311";"4210";"2106";"5400";"5820";"8500";"9370";"11400";"12600";"13341";"6113";"8212";"8620";"8840";"9700";"6200";"6266";"6993";"4661";"4850";"6482";"8229";"6614";"6145";"7207";"7717";"6516";"6823";"6115";"5939";"7001"
"1501956";"Cachoeira do Piriá (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"15000";"10000";"12000";"13000";"14500";"15000";"14700";"12989";"16557";"15150";"36689";"37460";"40373";"39440";"39995";"41976";"46519";"46341";"47169";"48587";"49848";"50200";"45567";"47265";"48857";"52091";"55189";"55636"
"1502004";"Cachoeira do Arari (PA)";"99952";"78843";"78229";"79770";"81318";"86345";"72000";"69500";"67300";"70000";"78400";"67931";"65796";"60890";"65745";"85469";"110331";"88265";"76900";"80745";"84782";"88658";"80300";"65300";"63340";"61440";"61900";"56380";"54690";"52720";"48500";"49470";"48480";"48722";"48966";"49211";"49457";"50940";"43281";"6254";"41295";"34830";"36540";"29845";"37560";"42123";"41600";"43400";"44590";"46100";"40707"
"1502103";"Cametá (PA)";"1280";"1066";"1071";"1080";"1210";"1250";"1170";"1280";"806";"1539";"2109";"1896";"2342";"2450";"2604";"2723";"2508";"2307";"1560";"1720";"1927";"1716";"1454";"1570";"1755";"1480";"1850";"1540";"1600";"1763";"1893";"2115";"2284";"1218";"1626";"1707";"1792";"1881";"450";"413";"501";"980";"564";"493";"460";"409";"448";"450";"507";"2830";"2729"
"1502152";"Canaã dos Carajás (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"168000";"175000";"180000";"176000";"181000";"235500";"239000";"305294";"269864";"228000";"225000";"230500";"160000";"181000";"175000";"180000";"190000";"200000";"205000";"225289";"212903";"221436";"243300";"213860";"224547";"230000";"228000";"229226"
"1502202";"Capanema (PA)";"2985";"2342";"2210";"2354";"2500";"3200";"7091";"7670";"8790";"8730";"7290";"6842";"7533";"8965";"10309";"10400";"10950";"11150";"8316";"9100";"9646";"9840";"10316";"10780";"11550";"13000";"13700";"15425";"15850";"25950";"24067";"30526";"32400";"26943";"25978";"25963";"24593";"25651";"27397";"26908";"27498";"27268";"26588";"25495";"24319";"23985";"23072";"24966";"27590";"28231";"27865"
"1502301";"Capitão Poço (PA)";"5379";"7040";"7970";"9560";"9680";"9970";"19423";"19531";"19230";"19500";"20450";"30034";"31535";"32796";"33943";"34280";"35308";"36368";"37094";"37835";"38402";"39755";"27500";"27800";"28950";"31500";"31800";"48760";"55000";"70813";"66000";"72388";"76590";"65130";"64435";"62570";"63662";"67693";"67287";"68854";"79697";"80075";"73979";"69200";"72134";"78377";"87672";"106921";"112153";"116727";"114620"
"1502400";"Castanhal (PA)";"2614";"2606";"2898";"3159";"4422";"4600";"17286";"25898";"18128";"24726";"33720";"18750";"20501";"22750";"28850";"30290";"30000";"31000";"32000";"40000";"45320";"52120";"23407";"23407";"23100";"22000";"21000";"30000";"32000";"32848";"34840";"37224";"39033";"21413";"25500";"26778";"26784";"27400";"30936";"31830";"27346";"30792";"31245";"18000";"35360";"35398";"34185";"36446";"36581";"42960";"51550"
"1502509";"Chaves (PA)";"141732";"117125";"117710";"118887";"120063";"129460";"87840";"96624";"101455";"149689";"163640";"83529";"87155";"87646";"100697";"101385";"132400";"141500";"152800";"166300";"174615";"178720";"198922";"186430";"120350";"109550";"119409";"127920";"125880";"134691";"142000";"76860";"70797";"77681";"79000";"83744";"91480";"99000";"101402";"73420";"77567";"76705";"67249";"75771";"64135";"66748";"70485";"68018";"65482";"67456";"63178"
"1502608";"Colares (PA)";"115";"3";"10";"16";"20";"25";"115";"135";"191";"193";"227";"192";"234";"338";"360";"320";"304";"340";"335";"397";"357";"350";"334";"334";"350";"360";"360";"300";"350";"330";"400";"400";"420";"431";"500";"103";"130";"157";"129";"123";"139";"386";"223";"412";"508";"560";"383";"665";"784";"1002";"1136"
"1502707";"Conceição do Araguaia (PA)";"29554";"140362";"144241";"163090";"185550";"187000";"323750";"408907";"483100";"107600";"122400";"106672";"133337";"147797";"354813";"378775";"369610";"432413";"458357";"490943";"446758";"480709";"237156";"249013";"244033";"236789";"284628";"285198";"288049";"296709";"298555";"318060";"303179";"258876";"243397";"235913";"258843";"271975";"295172";"307069";"313561";"301103";"288677";"279313";"269546";"256439";"269218";"298233";"320567";"330962";"328035"
"1502756";"Concórdia do Pará (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5934";"6527";"6100";"6649";"6981";"14100";"14900";"7197";"16450";"18095";"19086";"21459";"22387";"26456";"28948";"17044";"17515";"18565";"19506";"20000";"18000";"8926";"9180";"8623";"9705";"9973";"9958";"9839";"9923";"9916";"11877";"12637";"13572";"14569";"14955";"15729"
"1502764";"Cumaru do Norte (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"21600";"22143";"24801";"98728";"103664";"101590";"102985";"195110";"197062";"200017";"213118";"611151";"549673";"550712";"447412";"440378";"588925";"638983";"683072";"749278";"821185";"743174";"772554";"808396";"846495";"807787";"750015";"725962";"733564";"739730";"690442";"710417"
"1502772";"Curionópolis (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"72500";"76000";"72800";"75400";"44000";"46000";"48300";"150000";"148000";"155000";"150000";"143000";"141000";"156000";"160200";"286438";"290159";"276900";"258400";"255300";"256000";"280000";"290000";"246000";"262000";"270000";"265000";"264446";"256321";"253445";"244629";"256300";"257434";"262400";"262700";"274998"
"1502806";"Curralinho (PA)";"205";"47";"47";"47";"200";"220";"45";"51";"53";"58";"70";"101";"93";"105";"114";"125";"140";"150";"164";"172";"180";"186";"190";"162";"120";"132";"115";"100";"98";"100";"104";"110";"185";"170";"164";"153";"150";"160";"190";"203";"210";"236";"242";"230";"220";"205";"168";"115";"50";"45";"40"
"1502855";"Curuá (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"8000";"8900";"9968";"11960";"13395";"14735";"22000";"25000";"18674";"26646";"29868";"28286";"26020";"32647";"34034";"32109";"32181";"34433";"37187";"37148";"44068";"44924";"42411";"45382";"45914";"49563";"49181";"53180"
"1502905";"Curuçá (PA)";"176";"339";"397";"442";"480";"510";"814";"1450";"1705";"2400";"2760";"2396";"2515";"2825";"20060";"16000";"12800";"8060";"7000";"5200";"4900";"5000";"558";"558";"2100";"2150";"2150";"2257";"1435";"1588";"1060";"1128";"1158";"686";"1652";"1720";"1595";"1435";"1328";"1720";"1485";"1504";"1372";"220";"1709";"2115";"2825";"3395";"4027";"2980";"2732"
"1502939";"Dom Eliseu (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"90555";"104138";"104133";"124962";"124980";"125250";"75150";"50002";"48700";"56120";"61732";"79200";"87675";"107325";"124910";"128282";"142543";"142613";"140482";"134457";"122018";"106315";"105634";"102980";"102064";"90765";"88426";"66838";"57562";"58727";"62315";"65970";"86915";"85123";"88704";"81363"
"1502954";"Eldorado do Carajás (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"36000";"37100";"38600";"71000";"73200";"77000";"80000";"84000";"88600";"125000";"133000";"271113";"303018";"227900";"265000";"250600";"210000";"230000";"234000";"194000";"220000";"266000";"300000";"321322";"339704";"317482";"342780";"375000";"399164";"415000";"417000";"426154"
"1503002";"Faro (PA)";"28000";"13991";"14060";"14201";"14414";"15700";"18778";"20655";"22307";"24984";"27732";"22265";"24492";"26696";"29633";"32567";"27000";"28620";"25758";"5500";"5800";"6800";"2890";"3120";"3120";"3432";"3890";"3306";"4138";"5793";"6372";"7646";"8500";"13937";"9226";"7934";"7457";"871";"1019";"12149";"10966";"11318";"12109";"13102";"9757";"10635";"7118";"2759";"1702";"4491";"8166"
"1503044";"Floresta do Araguaia (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"78369";"75234";"76015";"86155";"123350";"91490";"99639";"185495";"193822";"165126";"152128";"147292";"146094";"152702";"157068";"166237";"168494";"182039";"186621";"180742";"183236";"176557";"173898";"193014";"208454";"241447";"248613";"253933"
"1503077";"Garrafão do Norte (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"15330";"16090";"16573";"16903";"17075";"17395";"17740";"15560";"15600";"17250";"19385";"20500";"18700";"18300";"28360";"37700";"40376";"42511";"42152";"41844";"41376";"42384";"44079";"48946";"50325";"55324";"56117";"57520";"56680";"53125";"48555";"57972";"65689";"69332";"67875";"65450"
"1503093";"Goianésia do Pará (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"37000";"38000";"40050";"58800";"60000";"60000";"60000";"65000";"70000";"75000";"75800";"216030";"264437";"264800";"155000";"187380";"136850";"131600";"262091";"212152";"236237";"260724";"250730";"247493";"180000";"226500";"241437";"268537";"313412";"333315";"314499";"314952"
"1503101";"Gurupá (PA)";"5256";"1970";"1980";"2000";"2500";"1200";"1600";"2850";"3100";"3661";"4186";"3077";"3250";"3393";"3560";"3950";"4130";"4520";"4650";"4710";"5160";"5250";"2712";"2682";"2653";"2690";"2824";"2950";"3097";"3280";"3936";"4152";"4318";"4370";"4706";"4940";"5138";"5344";"5557";"23";"1444";"1608";"1266";"1419";"1107";"1150";"1122";"1202";"1122";"1200";"1106"
"1503200";"Igarapé-Açu (PA)";"1700";"422";"426";"430";"470";"510";"2749";"2760";"2830";"4020";"4220";"6108";"6480";"6790";"7110";"6273";"6250";"6200";"6300";"6400";"6500";"6600";"9283";"9283";"9300";"9000";"9300";"13400";"13500";"15165";"16509";"18229";"18702";"18899";"20575";"20655";"19021";"19050";"19139";"21345";"21899";"22105";"20849";"15000";"16141";"20643";"22569";"21371";"22934";"23274";"21888"
"1503309";"Igarapé-Miri (PA)";"120";"92";"93";"94";"259";"270";"132";"130";"288";"318";"275";"193";"272";"272";"480";"500";"660";"1600";"1650";"1700";"2030";"2750";"2700";"2800";"2850";"2900";"2950";"2800";"2900";"2950";"1369";"1761";"1800";"2100";"1719";"1219";"1534";"1320";"1143";"1180";"970";"1075";"925";"1946";"1276";"1800";"1900";"2100";"2300";"2500";"5255"
"1503408";"Inhangapi (PA)";"527";"655";"725";"855";"990";"1000";"3329";"4295";"4724";"6050";"8900";"5704";"6557";"7500";"8075";"10860";"7000";"6000";"5500";"5500";"5620";"5380";"8386";"8386";"9200";"9520";"9600";"11000";"15000";"15846";"15208";"17035";"17546";"13068";"13200";"9561";"12704";"12700";"10202";"13909";"11482";"13532";"14010";"5871";"12443";"12763";"12114";"15190";"13549";"12862";"13041"
"1503457";"Ipixuna do Pará (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"32615";"35876";"37100";"54148";"56100";"58200";"64200";"72188";"88050";"90035";"97882";"96292";"110001";"110326";"105919";"114094";"105684";"98454";"105375";"110052";"85387";"106639";"108178";"100352";"95104";"83206";"105019";"117963";"121524";"125753";"130492";"135095"
"1503507";"Irituia (PA)";"40185";"15554";"16074";"16578";"17091";"17604";"35652";"37434";"45500";"52450";"55070";"28900";"30345";"31558";"35203";"13430";"13500";"16870";"18220";"20000";"21000";"22701";"40449";"40449";"44089";"52960";"60000";"45000";"56994";"68400";"68465";"71290";"71846";"65569";"66237";"71801";"75400";"67860";"66874";"77237";"78185";"81315";"67888";"37044";"66974";"67705";"70848";"72653";"71979";"78311";"75457"
"1503606";"Itaituba (PA)";"1340";"1416";"1673";"1857";"2061";"2287";"7637";"7637";"10765";"14282";"30384";"33391";"35061";"36814";"87835";"96618";"115941";"126375";"135221";"100000";"120000";"140000";"157020";"140000";"151200";"152000";"146000";"140000";"151200";"168641";"180160";"243759";"270698";"174318";"267526";"270657";"309894";"325567";"337737";"360703";"344197";"331381";"328979";"368776";"343981";"316498";"325291";"342732";"387910";"402848";"388717"
"1503705";"Itupiranga (PA)";"3150";"1972";"1940";"1988";"2560";"12830";"28731";"33000";"38000";"42000";"45000";"40495";"43400";"45500";"48050";"55200";"58600";"61000";"64000";"67000";"70000";"75000";"99300";"79100";"83000";"85000";"97000";"98500";"128000";"144000";"279123";"328838";"285000";"290000";"330700";"350000";"390000";"378000";"302000";"315000";"378000";"562275";"562280";"584217";"560182";"616100";"674630";"703887";"730000";"728600";"725255"
"1503754";"Jacareacanga (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3000";"4000";"4608";"12770";"16700";"18370";"19800";"22700";"25000";"26250";"30187";"5165";"6802";"8467";"26789";"26250";"27038";"12992";"12993";"15602";"16085";"15396";"14716";"14468";"80476";"81350";"80790";"81325";"82470";"25390";"95790";"105818"
"1503804";"Jacundá (PA)";"780";"1363";"1363";"1411";"1500";"10250";"18486";"21000";"24000";"27000";"30000";"37124";"42700";"47500";"50250";"62100";"66150";"65500";"68200";"32000";"33500";"34300";"49900";"50800";"53000";"50000";"51000";"51700";"80400";"84500";"168045";"229775";"198000";"140500";"145500";"158000";"163233";"170860";"198617";"178000";"186413";"171868";"172860";"172363";"167041";"176281";"186527";"184253";"192500";"182800";"177716"
"1503903";"Juruti (PA)";"23756";"15081";"15156";"15308";"15507";"16300";"23343";"25677";"28244";"31633";"34796";"24504";"26709";"29010";"32433";"35838";"21503";"23655";"30754";"35000";"31500";"42000";"27500";"30250";"33880";"35000";"40500";"46575";"46575";"50000";"48500";"32000";"43627";"38906";"43254";"37198";"29758";"30137";"40996";"21745";"28441";"27872";"31486";"40347";"42608";"41231";"42437";"43129";"44501";"49910";"49337"
"1504000";"Limoeiro do Ajuru (PA)";"60";"70";"75";"76";"60";"70";"100";"80";"85";"98";"106";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"4";"5";"5";"4";"4";"-";"-";"12";"10";"10";"12";"13";"14";"15";"16";"17";"27";"20";"23";"20";"18";"13";"10";"20";"15";"13";"-";"-"
"1504059";"Mãe do Rio (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"25560";"27093";"29800";"37250";"37550";"38450";"40000";"26040";"26500";"27500";"30580";"54160";"51564";"50860";"52056";"58686";"70732";"72811";"69898";"67856";"67120";"60702";"54854";"61588";"61501";"56010";"52305";"44512";"52574";"53183";"59752";"63332";"45814";"44214";"45858";"40267"
"1504109";"Magalhães Barata (PA)";"76";"28";"28";"28";"180";"200";"156";"160";"175";"190";"200";"386";"400";"420";"445";"710";"750";"870";"806";"790";"750";"700";"435";"435";"420";"400";"420";"200";"180";"790";"802";"770";"740";"988";"885";"1178";"739";"881";"931";"1348";"883";"1009";"766";"827";"1141";"1291";"832";"1301";"1862";"1679";"2012"
"1504208";"Marabá (PA)";"50103";"43748";"44299";"45485";"52214";"60046";"124997";"143000";"167000";"187000";"210000";"151497";"157500";"163800";"173100";"63950";"68400";"70500";"74500";"80000";"84000";"88500";"188400";"183600";"192000";"193500";"195000";"196500";"315000";"375000";"816738";"759651";"645700";"430300";"478100";"510000";"600000";"675000";"660000";"705000";"900000";"1070400";"1072999";"1025124";"1033749";"1136100";"1269700";"1478450";"1300000";"1305000";"1295819"
"1504307";"Maracanã (PA)";"176";"423";"445";"449";"280";"300";"350";"360";"390";"450";"480";"848";"856";"870";"890";"1332";"1350";"1400";"1450";"1600";"2000";"2100";"401";"401";"400";"480";"480";"700";"380";"1468";"3280";"3472";"3569";"2780";"2791";"2849";"2596";"2691";"2816";"3306";"2768";"2650";"3276";"3800";"3974";"4045";"2665";"3934";"3407";"3622";"3540"
"1504406";"Marapanim (PA)";"773";"1125";"1156";"1178";"1512";"1966";"1764";"2100";"2378";"2500";"2720";"1610";"1551";"1615";"1705";"1790";"1950";"1800";"2200";"2300";"2350";"2380";"4070";"4070";"3200";"4000";"4100";"4346";"2450";"3244";"2363";"4060";"4035";"4094";"4100";"3346";"3115";"4539";"3991";"4430";"3784";"2800";"4251";"2000";"4475";"4614";"4383";"4826";"5520";"4808";"5189"
"1504422";"Marituba (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"680";"737";"777";"800";"830";"850";"865";"344";"920";"950";"190";"200";"218";"220";"230";"460";"535";"140";"386";"266";"245";"136";"120";"45";"48";"54";"58";"49"
"1504455";"Medicilândia (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"27200";"29100";"35000";"30000";"26000";"28200";"31000";"49000";"50810";"52336";"58616";"49175";"70323";"105443";"111910";"124373";"137864";"157128";"143359";"135117";"134380";"103939";"123212";"133885";"143371";"152562";"158768";"165016";"166100";"147540";"180562";"185298";"201281";"218779";"219535";"220069"
"1504505";"Melgaço (PA)";"45";"141";"176";"170";"180";"300";"420";"480";"516";"708";"728";"800";"830";"802";"1021";"1150";"1380";"1620";"1720";"1840";"1910";"2010";"2120";"3290";"3480";"3284";"3390";"2154";"1550";"1610";"1405";"1478";"1520";"1538";"1574";"1612";"1620";"1580";"1630";"1820";"1834";"1882";"1850";"1794";"1624";"1710";"1210";"1150";"1020";"1150";"1020"
"1504604";"Mocajuba (PA)";"295";"155";"150";"152";"180";"250";"200";"220";"150";"486";"616";"609";"847";"891";"941";"1078";"1185";"1250";"1338";"1251";"1189";"1400";"705";"800";"840";"750";"682";"627";"645";"677";"8812";"9091";"8221";"3389";"3558";"3735";"3921";"4117";"2145";"1548";"1752";"1384";"1493";"936";"1169";"1468";"1382";"824";"3009";"1201";"1448"
"1504703";"Moju (PA)";"2000";"705";"761";"813";"874";"910";"1949";"1900";"7096";"20000";"35000";"35720";"69650";"73090";"91350";"110000";"112500";"113800";"113800";"115000";"118000";"94400";"19000";"20000";"21000";"23000";"27500";"30000";"35000";"34850";"44696";"53770";"53800";"56478";"56431";"53781";"45700";"42500";"52084";"50000";"47000";"74300";"74368";"80756";"82096";"83000";"84000";"85000";"85500";"86000";"170492"
"1504752";"Mojuí dos Campos (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1188";"6852";"9738";"9986";"11121";"12895";"13192";"14856";"17684";"19601";"23132";"58155"
"1504802";"Monte Alegre (PA)";"58728";"34274";"34445";"34789";"35276";"38554";"72392";"76013";"78423";"87833";"97055";"66062";"67384";"69405";"71820";"68000";"70040";"71790";"70000";"72000";"79000";"84000";"82980";"85470";"86000";"88000";"100000";"106761";"114706";"171865";"174302";"177451";"196200";"128412";"191680";"191680";"186473";"192242";"205728";"214596";"219112";"221942";"214361";"236968";"244500";"259712";"266335";"281287";"281562";"312243";"373441"
"1504901";"Muaná (PA)";"28159";"27655";"28761";"29764";"30805";"31900";"17708";"18609";"18649";"18715";"18768";"18358";"19306";"19995";"20345";"18513";"19720";"20630";"19480";"20454";"21476";"22720";"23856";"12150";"11540";"10100";"10990";"10350";"9800";"9420";"9100";"13935";"13756";"14640";"15000";"15375";"15451";"15760";"7097";"7449";"7389";"7590";"7350";"6256";"6859";"6340";"5880";"6100";"6450";"6090";"5936"
"1504950";"Nova Esperança do Piriá (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1500";"1550";"1610";"2700";"2800";"3015";"3226";"3550";"3800";"3950";"4500";"16158";"18865";"19480";"38660";"39198";"39140";"21294";"23068";"24829";"25643";"27323";"28112";"30100";"28210";"27953";"44607";"46676";"60073";"63576";"62282";"54161"
"1504976";"Nova Ipixuna (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"25000";"26000";"25000";"26000";"27200";"45500";"49100";"73480";"125138";"108800";"74600";"76100";"80000";"83737";"89883";"76400";"80000";"84000";"90000";"108109";"115763";"106262";"112766";"124040";"136566";"135000";"132000";"130254"
"1505007";"Nova Timboteua (PA)";"2150";"2366";"2574";"2778";"2950";"3100";"3668";"4447";"5551";"5000";"4800";"2906";"3201";"3467";"3640";"3350";"3600";"3650";"3830";"4021";"4200";"4315";"6920";"7160";"7450";"8100";"8250";"7800";"7980";"10060";"13600";"11310";"12180";"11723";"12035";"14561";"12273";"13932";"15364";"17584";"15982";"15472";"16039";"15750";"16738";"17502";"19715";"24104";"25833";"23598";"22759"
"1505031";"Novo Progresso (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"85000";"105000";"140000";"83182";"87000";"100000";"105000";"155974";"185000";"183568";"231741";"378573";"463784";"561628";"105989";"412400";"763088";"636227";"680671";"687142";"632521";"590273";"567077";"579218";"618365";"618876";"625979";"632411";"642252";"728183";"764993";"724459"
"1505064";"Novo Repartimento (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"150000";"135000";"150000";"115000";"118500";"142200";"120870";"130540";"144650";"148989";"315604";"454051";"451503";"460650";"363456";"381628";"400700";"631504";"663079";"791795";"855319";"959056";"930123";"970262";"900000";"970837";"884331";"1073034";"1155609";"1300411";"1275779";"1263160"
"1505106";"Óbidos (PA)";"32726";"29135";"29558";"29966";"32412";"35653";"43378";"48583";"53441";"60388";"66124";"52443";"59260";"65720";"71635";"79515";"66793";"68796";"61916";"72500";"72500";"85000";"70000";"75000";"78750";"79836";"85681";"100681";"120817";"126857";"120000";"128394";"124526";"127768";"125428";"113090";"120713";"127269";"127687";"127269";"129823";"133551";"133989";"143462";"143128";"143068";"149900";"160052";"172430";"180010";"186070"
"1505205";"Oeiras do Pará (PA)";"14";"6";"7";"7";"45";"40";"-";"-";"-";"-";"-";"58";"57";"1890";"1548";"1392";"1272";"1004";"1108";"1208";"1232";"1184";"1853";"1578";"1815";"1905";"2200";"1900";"1750";"1837";"1691";"1842";"1486";"4801";"5041";"5293";"5558";"5835";"720";"817";"516";"960";"1307";"1481";"829";"919";"1074";"4078";"5233";"6161";"6331"
"1505304";"Oriximiná (PA)";"28500";"22830";"22944";"23173";"23474";"25100";"35457";"38978";"42876";"40000";"48000";"43287";"49780";"55255";"60946";"68259";"63481";"65385";"55577";"78580";"82510";"84000";"70000";"70000";"76600";"88090";"102184";"78638";"82842";"91486";"104000";"131563";"123430";"131525";"130485";"139852";"135156";"125350";"147748";"159623";"140549";"141576";"140340";"148328";"139429";"125129";"137337";"131126";"135479";"135547";"139874"
"1505403";"Ourém (PA)";"6495";"13062";"14357";"15505";"15909";"16386";"30842";"30933";"30430";"31200";"32100";"33552";"35588";"36655";"37571";"22990";"23680";"24390";"24635";"4920";"5015";"5550";"12000";"12600";"12720";"13500";"14100";"13000";"16000";"15000";"15800";"15383";"16158";"16834";"17135";"18362";"18514";"18704";"16248";"16866";"18012";"18126";"19026";"17000";"18188";"15310";"15723";"18499";"19978";"18567";"18766"
"1505437";"Ourilândia do Norte (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"40964";"45875";"49613";"51385";"123300";"147960";"177552";"163698";"129886";"155863";"171449";"156078";"188993";"194656";"207877";"202944";"216980";"198936";"103510";"173569";"158221";"181515";"191113";"194935";"187148";"191441";"181074";"186959";"204229";"192522";"205609";"216981";"226851";"238006";"241571";"244415"
"1505486";"Pacajá (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"200000";"210000";"220000";"235000";"140000";"135000";"181000";"103516";"81108";"85142";"95350";"97345";"138319";"166542";"250643";"283204";"313579";"334595";"256420";"370333";"415724";"400216";"358037";"432578";"492442";"536460";"573471";"585925";"643200";"620785";"559776";"698223";"733530";"813442";"859069";"851950"
"1505494";"Palestina do Pará (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"23400";"24500";"23900";"33200";"34300";"35200";"35000";"30000";"28700";"41000";"43000";"45587";"67688";"64500";"75000";"66500";"55000";"58770";"65200";"49000";"45000";"58000";"63000";"85368";"52070";"41801";"94220";"103960";"109618";"109450";"108500";"108372"
"1505502";"Paragominas (PA)";"162650";"207679";"252000";"300000";"315000";"340000";"160348";"300000";"380180";"395800";"400050";"385641";"449860";"469380";"505000";"513145";"615774";"693115";"698250";"439600";"439610";"450000";"74847";"80000";"450000";"495000";"410150";"381521";"373199";"400877";"510807";"448030";"455903";"419430";"418976";"335180";"315720";"292464";"320344";"347322";"348652";"342000";"302465";"301720";"276131";"318436";"357189";"367490";"383210";"375902";"382487"
"1505536";"Parauapebas (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"73600";"80000";"81000";"85800";"50000";"55000";"59100";"200000";"42000";"44000";"45000";"47500";"48900";"79200";"90100";"257992";"284751";"247700";"129500";"136800";"182000";"158000";"141000";"128000";"119000";"110000";"105000";"105729";"119800";"110642";"119055";"123460";"134265";"132950";"130530";"128859"
"1505551";"Pau D'Arco (PA)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"85612";"86019";"78368";"72890";"71612";"69891";"71213";"101093";"104126";"107249";"105146";"154980";"146647";"150211";"141356";"128865";"135675";"134906";"129798";"120991";"122538";"122883";"125654";"113717";"114423";"117555";"103211";"110541";"115762";"114105";"112409";"116352"
