UF,Tipo Crime,Ano,Mês,Ocorrências
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,0
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,JANEIRO,0
ALAGOAS,ROUBO DE CARGA,2022,JANEIRO,1
ALAGOAS,ROUBO DE VEÍCULO,2022,JANEIRO,130
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JANEIRO,1
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,JANEIRO,47
ALAGOAS,ESTUPRO,2022,FEVEREIRO,45
ALAGOAS,FURTO DE VEÍCULO,2022,FEVEREIRO,144
ALAGOAS,HOMICÍDIO DOLOSO,2022,FEVEREIRO,85
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,0
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,FEVEREIRO,0
ALAGOAS,ROUBO DE CARGA,2022,FEVEREIRO,0
ALAGOAS,ROUBO DE VEÍCULO,2022,FEVEREIRO,138
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,FEVEREIRO,2
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,FEVEREIRO,55
ALAGOAS,ESTUPRO,2022,MARÇO,81
ALAGOAS,FURTO DE VEÍCULO,2022,MARÇO,162
ALAGOAS,HOMICÍDIO DOLOSO,2022,MARÇO,95
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,1
ALAGOAS,ROUBO A INSTITUIÇÃO FINANCEIRA,2022,MARÇO,0
ALAGOAS,ROUBO DE CARGA,2022,MARÇO,0
ALAGOAS,ROUBO DE VEÍCULO,2022,MARÇO,132
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MARÇO,2
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,MARÇO,46
ALAGOAS,ESTUPRO,2022,ABRIL,73
ALAGOAS,FURTO DE VEÍCULO,2022,ABRIL,135
ALAGOAS,HOMICÍDIO DOLOSO,2022,ABRIL,107
ALAGOAS,ROUBO DE CARGA,2022,ABRIL,1
ALAGOAS,ROUBO DE VEÍCULO,2022,ABRIL,114
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,ABRIL,4
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,ABRIL,45
ALAGOAS,ESTUPRO,2022,MAIO,17
ALAGOAS,FURTO DE VEÍCULO,2022,MAIO,142
ALAGOAS,HOMICÍDIO DOLOSO,2022,MAIO,77
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,1
ALAGOAS,ROUBO DE VEÍCULO,2022,MAIO,143
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,MAIO,2
ALAGOAS,TENTATIVA DE HOMICÍDIO,2022,MAIO,45
ALAGOAS,ESTUPRO,2022,JUNHO,54
ALAGOAS,FURTO DE VEÍCULO,2022,JUNHO,183
ALAGOAS,HOMICÍDIO DOLOSO,2022,JUNHO,86
ALAGOAS,ROUBO DE CARGA,2022,JUNHO,2
ALAGOAS,ROUBO DE VEÍCULO,2022,JUNHO,136
ALAGOAS,ROUBO SEGUIDO DE MORTE (LATROCÍNIO),2022,JUNHO,1
