UF,Tipo Crime,Ano,Mês,Sexo da Vítima,Vítimas
ALAGOAS,HOMICÍDIO DOLOSO,2022,ABRIL,SEXO NI,10
ALAGOAS,HOMICÍDIO DOLOSO,2022,MAIO,FEMININO,3
ALAGOAS,HOMICÍDIO DOLOSO,2022,MAIO,MASCULINO,87
ALAGOAS,HOMICÍDIO DOLOSO,2022,JUNHO,FEMININO,6
ALAGOAS,HOMICÍDIO DOLOSO,2022,JUNHO,MASCULINO,80
ALAGOAS,HOMICÍDIO DOLOSO,2022,JULHO,FEMININO,9
ALAGOAS,HOMICÍDIO DOLOSO,2022,JULHO,MASCULINO,83
ALAGOAS,HOMICÍDIO DOLOSO,2022,JULHO,SEXO NI,0
ALAGOAS,HOMICÍDIO DOLOSO,2022,AGOSTO,FEMININO,1
ALAGOAS,HOMICÍDIO DOLOSO,2022,AGOSTO,MASCULINO,63
ALAGOAS,HOMICÍDIO DOLOSO,2022,AGOSTO,SEXO NI,0
ALAGOAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,FEMININO,2
ALAGOAS,HOMICÍDIO DOLOSO,2022,SETEMBRO,MASCULINO,94
ALAGOAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,FEMININO,10
ALAGOAS,HOMICÍDIO DOLOSO,2022,OUTUBRO,MASCULINO,92
ALAGOAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,FEMININO,6
ALAGOAS,HOMICÍDIO DOLOSO,2022,NOVEMBRO,MASCULINO,81
ALAGOAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,FEMININO,11
ALAGOAS,HOMICÍDIO DOLOSO,2022,DEZEMBRO,MASCULINO,95
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,FEMININO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,MASCULINO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JANEIRO,SEXO NI,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,FEMININO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,MASCULINO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,FEVEREIRO,SEXO NI,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,FEMININO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,MASCULINO,1
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MARÇO,SEXO NI,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,MAIO,MASCULINO,1
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,FEMININO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,MASCULINO,0
ALAGOAS,LESÃO CORPORAL SEGUIDA DE MORTE,2022,JULHO,SEXO NI,0
